Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-12 7:39:15,16.0,120.8,119.8,0.0,0.0,1006.5,126,0,Fault,0.00,31,25,5.0,0.0,242.2,50.00,0.0,241.2,50.00,0.0,243.3,50.00,1003.481,30.195,269.742,402.600
2015-10-12 7:44:15,19.0,159.4,158.5,0.0,0.0,1006.5,126,0,Fault,0.00,43,34,10.0,0.0,242.1,49.99,0.0,240.8,49.99,0.0,243.0,49.99,1003.481,30.195,269.742,402.600
2015-10-12 7:49:15,20.0,777.7,776.7,0.0,0.0,1006.5,126,0,Fault,0.00,193,133,12.0,0.0,243.0,50.00,0.0,241.5,50.00,0.0,243.9,50.00,1003.481,30.195,269.742,402.600
2015-10-12 7:51:55,21.0,788.6,788.0,0.0,0.0,1006.5,126,0,Check,0.00,196,135,12.0,0.0,242.3,50.01,0.0,241.0,50.01,0.0,243.2,50.01,1003.481,30.195,269.742,402.600
2015-10-12 7:56:55,22.0,602.5,601.8,0.3,0.2,1006.5,126,300,Normal,0.00,203,157,26.0,1.1,241.7,50.00,0.8,240.7,50.00,0.8,242.4,50.00,1003.481,30.195,269.742,402.600
2015-10-12 8:1:55,22.0,653.6,652.9,0.3,0.2,1006.5,126,369,Normal,0.00,240,188,29.0,1.0,241.1,49.99,0.8,240.3,49.99,0.8,242.2,49.99,1003.481,30.195,269.742,402.600
2015-10-12 8:6:55,23.0,684.4,683.7,0.3,0.3,1006.5,126,407,Normal,0.00,261,206,30.0,1.0,239.5,50.00,0.8,238.8,50.00,0.8,241.0,50.00,1003.481,30.195,269.742,402.600
2015-10-12 8:11:55,23.0,744.4,727.4,0.4,0.3,1006.6,126,488,Normal,0.10,305,242,34.0,1.0,238.1,50.00,0.8,237.7,50.00,0.8,240.0,50.00,1003.580,30.198,269.769,402.640
2015-10-12 8:16:55,24.0,795.8,795.1,0.4,0.3,1006.6,126,551,Normal,0.10,339,271,35.0,1.0,237.4,49.98,0.8,236.8,49.98,0.9,239.5,49.98,1003.580,30.198,269.769,402.640
2015-10-12 8:21:56,24.0,774.8,753.1,0.5,0.4,1006.7,126,651,Normal,0.20,391,319,35.0,1.0,237.5,50.00,0.9,236.5,50.00,1.0,239.4,50.00,1003.680,30.201,269.796,402.680
