Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-21 10:19:8,24.0,582.1,530.4,0.4,0.4,1110.5,221,436,Normal,0.40,265,231,37.0,1.0,238.4,50.01,0.9,238.4,50.01,0.9,242.0,50.01,1107.169,33.315,297.614,444.200
2015-10-21 10:24:9,24.0,565.8,544.4,0.4,0.4,1110.5,221,440,Normal,0.40,265,235,37.0,1.0,237.7,50.00,0.9,238.1,50.00,0.9,241.0,50.00,1107.169,33.315,297.614,444.200
2015-10-21 10:29:9,24.0,589.3,556.2,0.4,0.4,1110.5,221,486,Normal,0.40,290,256,38.0,1.0,238.2,50.01,0.9,238.4,50.01,0.9,242.0,50.01,1107.169,33.315,297.614,444.200
2015-10-21 10:34:9,25.0,583.9,544.4,0.4,0.4,1110.6,221,433,Normal,0.50,261,231,38.0,1.0,237.9,50.00,0.8,238.4,50.00,0.9,241.5,50.00,1107.268,33.318,297.641,444.240
2015-10-21 10:39:9,25.0,576.9,534.3,0.3,0.3,1110.6,222,360,Normal,0.50,224,195,37.0,1.0,238.3,50.01,0.8,238.5,50.01,0.9,242.0,50.01,1107.268,33.318,297.641,444.240
2015-10-21 10:44:9,25.0,592.9,543.3,0.4,0.4,1110.6,222,477,Normal,0.50,284,252,38.0,1.0,238.5,50.00,0.9,238.1,50.00,0.9,241.7,50.00,1107.268,33.318,297.641,444.240
2015-10-21 10:49:9,25.0,580.9,542.3,0.6,0.6,1110.7,222,660,Normal,0.60,379,340,38.0,1.1,238.3,50.01,1.1,238.7,50.01,1.0,241.8,50.01,1107.368,33.321,297.668,444.280
2015-10-21 10:54:9,25.0,619.9,586.9,0.7,0.6,1110.7,222,788,Normal,0.60,446,401,39.0,1.2,238.4,50.00,1.2,238.5,50.00,1.1,242.0,50.00,1107.368,33.321,297.668,444.280
2015-10-21 10:59:10,25.0,609.5,570.9,0.8,0.7,1110.8,222,899,Normal,0.70,501,457,40.0,1.3,240.0,50.02,1.3,239.4,50.02,1.2,243.5,50.02,1107.468,33.324,297.694,444.320
2015-10-21 11:4:10,25.0,596.0,551.3,0.5,0.5,1110.9,222,586,Normal,0.80,340,306,39.0,1.0,238.7,50.01,1.0,238.9,50.01,1.0,241.9,50.01,1107.567,33.327,297.721,444.360
