Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-10-21 10:19:7,26.0,623.3,632.8,0.3,0.2,986.0,220,140,Normal,0.00,216,153,34.0,0.9,241.4,50.01,0.8,241.0,50.01,0.8,242.9,50.01,983.042,29.580,264.248,394.400
2015-10-21 10:24:7,26.0,704.5,663.8,0.3,0.2,986.0,220,79,Normal,0.00,223,157,36.0,0.9,241.9,50.00,0.8,240.3,50.00,0.9,244.0,50.00,983.042,29.580,264.248,394.400
2015-10-21 10:29:8,26.0,681.9,705.3,0.3,0.2,986.0,220,118,Normal,0.00,252,173,36.0,0.9,243.3,50.00,0.8,240.7,50.00,0.9,245.2,50.00,983.042,29.580,264.248,394.400
2015-10-21 10:34:8,26.0,685.1,692.5,0.3,0.2,986.0,220,92,Normal,0.00,225,159,36.0,0.8,242.4,50.00,0.8,240.9,50.00,0.8,244.6,50.00,983.042,29.580,264.248,394.400
2015-10-21 10:39:8,26.0,665.1,678.5,0.2,0.1,986.0,220,35,Normal,0.00,178,134,36.0,0.8,242.7,50.01,0.8,240.9,50.01,0.8,244.7,50.01,983.042,29.580,264.248,394.400
2015-10-21 10:44:8,27.0,685.3,698.9,0.3,0.2,986.0,220,120,Normal,0.00,250,171,37.0,0.9,241.1,50.00,0.8,240.3,50.00,0.8,242.9,50.00,983.042,29.580,264.248,394.400
2015-10-21 10:49:8,27.0,721.5,611.4,0.4,0.3,986.0,220,257,Normal,0.00,359,210,38.0,0.9,243.7,50.01,0.8,241.9,50.01,0.9,245.5,50.01,983.042,29.580,264.248,394.400
2015-10-21 10:54:8,27.0,745.5,588.5,0.5,0.4,986.1,220,331,Normal,0.10,428,236,38.0,1.0,242.3,50.01,0.9,241.0,50.01,1.0,244.9,50.01,983.142,29.583,264.275,394.440
2015-10-21 10:59:8,27.0,726.4,724.6,0.7,0.4,986.1,220,502,Normal,0.10,512,304,38.0,1.2,243.7,50.02,1.0,240.6,50.02,1.2,245.3,50.02,983.142,29.583,264.275,394.440
2015-10-21 11:4:8,27.0,703.8,699.2,0.4,0.2,986.1,221,228,Normal,0.10,323,208,38.0,0.9,242.3,50.01,0.9,241.4,50.01,0.8,243.8,50.01,983.142,29.583,264.275,394.440
2015-10-21 11:9:8,27.0,661.9,668.7,0.4,0.2,986.1,221,212,Normal,0.10,286,189,37.0,0.9,241.8,50.00,0.8,240.2,50.00,0.9,243.9,50.00,983.142,29.583,264.275,394.440
2015-10-21 11:14:8,27.0,717.8,682.3,0.3,0.2,986.2,221,156,Normal,0.20,281,187,38.0,0.9,240.9,50.00,0.8,239.7,50.00,0.9,243.2,50.00,983.241,29.586,264.302,394.480
2015-10-21 11:19:8,27.0,700.6,698.9,0.4,0.3,986.2,221,252,Normal,0.20,343,218,38.0,0.9,243.2,50.00,0.8,241.3,50.00,0.9,245.1,50.00,983.241,29.586,264.302,394.480
2015-10-21 11:24:8,28.0,708.8,719.4,0.5,0.3,986.2,221,289,Normal,0.20,373,233,38.0,0.9,242.7,50.01,0.8,240.6,50.01,1.0,244.8,50.01,983.241,29.586,264.302,394.480
2015-10-21 11:29:8,28.0,711.3,657.6,0.4,0.3,986.2,221,263,Normal,0.20,351,216,39.0,0.9,242.5,50.01,0.8,241.0,50.01,0.9,244.7,50.01,983.241,29.586,264.302,394.480
2015-10-21 11:34:8,28.0,603.7,631.3,0.6,0.3,986.2,221,383,Normal,0.20,375,238,38.0,1.0,241.8,49.99,1.0,240.8,49.99,1.0,243.9,49.99,983.241,29.586,264.302,394.480
2015-10-21 11:39:8,28.0,712.6,715.2,0.6,0.3,986.3,221,384,Normal,0.30,432,263,39.0,1.0,242.8,50.01,0.9,240.8,50.01,1.1,244.4,50.01,983.341,29.589,264.328,394.520
2015-10-21 11:44:8,28.0,698.6,712.5,0.5,0.3,986.3,221,294,Normal,0.30,372,234,39.0,0.9,243.9,49.99,0.8,241.4,49.99,1.0,245.7,49.99,983.341,29.589,264.328,394.520
2015-10-21 11:49:8,28.0,704.4,707.7,0.5,0.3,986.3,221,333,Normal,0.30,393,243,39.0,1.0,243.9,49.98,0.9,241.5,49.98,1.0,245.6,49.98,983.341,29.589,264.328,394.520
2015-10-21 11:54:8,28.0,716.3,686.8,0.4,0.3,986.4,221,251,Normal,0.40,345,218,39.0,0.9,245.3,50.02,0.8,242.3,50.02,1.0,246.1,50.02,983.441,29.592,264.355,394.560
2015-10-21 11:59:8,28.0,676.0,709.2,0.4,0.2,986.4,221,152,Normal,0.40,278,186,38.0,0.9,243.2,50.01,0.8,241.7,50.01,0.8,245.0,50.01,983.441,29.592,264.355,394.560
2015-10-21 12:4:8,28.0,656.1,644.5,0.6,0.3,986.4,222,414,Normal,0.40,413,248,38.0,1.1,239.2,50.01,1.0,238.2,50.01,1.0,241.2,50.01,983.441,29.592,264.355,394.560
2015-10-21 12:9:8,28.0,700.3,709.8,0.4,0.3,986.4,222,255,Normal,0.40,349,221,39.0,0.9,240.0,50.00,0.8,238.7,50.00,0.9,241.6,50.00,983.441,29.592,264.355,394.560
2015-10-21 12:14:8,28.0,669.8,693.8,0.4,0.2,986.4,222,222,Normal,0.40,314,205,39.0,0.9,239.5,50.00,0.8,237.4,50.00,0.9,241.5,50.00,983.441,29.592,264.355,394.560
