Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2015-9-6 6:40:19,23.0,117.7,116.8,0.0,0.0,6986.5,1054,0,Fault,0.00,30,24,15.0,0.0,240.9,50.01,0.0,240.2,50.01,0.0,241.6,50.01,6965.541,209.595,1872.382,2794.600
2015-9-6 6:45:19,25.0,690.7,689.8,0.0,0.0,6986.5,1054,0,Fault,0.00,172,121,18.0,0.0,240.9,50.00,0.0,240.1,50.00,0.0,241.8,50.00,6965.541,209.595,1872.382,2794.600
2015-9-6 6:50:19,27.0,718.3,717.5,0.0,0.0,6986.5,1054,0,Wait,0.00,180,126,20.0,0.0,241.0,50.01,0.0,240.4,50.01,0.0,241.8,50.01,6965.541,209.595,1872.382,2794.600
2015-9-6 6:55:19,28.0,599.1,598.4,0.3,0.2,6986.5,1054,288,Normal,0.00,196,152,31.0,1.0,239.8,49.99,0.8,239.4,49.99,0.9,240.6,49.99,6965.541,209.595,1872.382,2794.600
2015-9-6 7:0:19,29.0,619.7,616.9,0.3,0.2,6986.5,1054,333,Normal,0.00,219,173,32.0,1.0,239.7,50.02,0.8,239.2,50.02,0.8,240.8,50.02,6965.541,209.595,1872.382,2794.600
2015-9-6 7:5:19,29.0,662.4,660.3,0.3,0.3,6986.5,1054,389,Normal,0.00,249,199,34.0,1.0,237.9,50.01,0.8,237.7,50.01,0.8,239.2,50.01,6965.541,209.595,1872.382,2794.600
2015-9-6 7:10:19,30.0,687.4,686.7,0.4,0.3,6986.6,1054,447,Normal,0.10,279,227,36.0,0.9,237.6,49.99,0.8,237.3,49.99,0.9,238.6,49.99,6965.640,209.598,1872.409,2794.640
2015-9-6 7:15:19,30.0,735.0,734.4,0.4,0.3,6986.6,1055,485,Normal,0.10,300,245,37.0,1.0,237.1,49.99,0.8,236.7,49.99,0.9,238.5,49.99,6965.640,209.598,1872.409,2794.640
2015-9-6 7:20:19,30.0,762.3,761.8,0.4,0.3,6986.6,1055,515,Normal,0.10,314,261,38.0,1.0,236.9,50.00,0.8,236.7,50.00,0.9,238.2,50.00,6965.640,209.598,1872.409,2794.640
2015-9-6 7:25:19,31.0,699.0,726.6,0.5,0.4,6986.7,1055,702,Normal,0.20,409,353,38.0,1.0,237.5,49.99,1.0,237.1,49.99,1.0,238.8,49.99,6965.740,209.601,1872.436,2794.680
2015-9-6 7:30:19,31.0,734.3,699.9,0.6,0.5,6986.7,1055,782,Normal,0.20,448,393,38.0,1.0,237.5,50.00,1.0,237.5,50.00,1.0,239.0,50.00,6965.740,209.601,1872.436,2794.680
