Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2016-10-1 7:29:10,21.0,106.5,105.5,0.0,0.0,14351.5,3400,0,Fault,0.00,0,0,14.0,0.0,240.9,50.00,0.0,239.3,50.00,0.0,243.1,50.00,14308.446,430.545,3846.202,5740.600
2016-10-1 7:29:29,22.0,110.6,109.6,0.0,0.0,14351.5,3400,0,Fault,0.00,0,0,16.0,0.0,241.0,50.01,0.0,239.4,50.01,0.0,243.1,50.01,14308.446,430.545,3846.202,5740.600
2016-10-1 7:34:29,23.0,691.5,689.5,0.0,0.0,14351.5,3400,0,Fault,0.00,0,0,19.0,0.0,240.5,50.02,0.0,239.0,50.02,0.0,242.7,50.02,14308.446,430.545,3846.202,5740.600
2016-10-1 7:39:29,25.0,737.8,735.7,0.0,0.0,14351.5,3400,0,Wait,0.00,0,0,20.0,0.0,240.5,50.04,0.0,238.7,50.04,0.0,242.6,50.04,14308.446,430.545,3846.202,5740.600
2016-10-1 7:44:30,26.0,598.3,603.4,0.1,0.1,14351.5,3400,4,Normal,0.00,105,92,31.0,0.8,241.4,50.00,0.7,239.3,50.00,0.8,243.0,50.00,14308.446,430.545,3846.202,5740.600
2016-10-1 7:49:30,26.0,639.7,637.9,0.2,0.1,14351.5,3400,38,Normal,0.00,150,117,32.0,0.8,238.8,49.98,0.8,237.7,49.98,0.8,241.0,49.98,14308.446,430.545,3846.202,5740.600
2016-10-1 7:54:31,27.0,673.8,726.5,0.3,0.2,14351.5,3400,33,Normal,0.00,212,148,36.0,0.8,240.3,49.99,0.8,238.3,49.99,0.8,242.0,49.99,14308.446,430.545,3846.202,5740.600
2016-10-1 7:59:31,27.0,719.0,707.8,0.3,0.2,14351.5,3400,99,Normal,0.00,239,167,35.0,0.8,243.4,49.99,0.8,241.1,49.99,0.9,245.5,49.99,14308.446,430.545,3846.202,5740.600
2016-10-1 8:4:31,28.0,688.3,702.2,0.3,0.2,14351.5,3400,142,Normal,0.00,260,180,37.0,0.8,243.2,49.98,0.7,239.9,49.98,0.9,244.7,49.98,14308.446,430.545,3846.202,5740.600
2016-10-1 8:9:31,28.0,702.4,745.4,0.4,0.2,14351.5,3401,191,Normal,0.00,320,216,38.0,0.9,240.5,50.00,0.8,237.8,50.00,0.9,242.8,50.00,14308.446,430.545,3846.202,5740.600
2016-10-1 8:14:31,28.0,747.8,736.5,0.5,0.3,14351.5,3401,306,Normal,0.00,393,251,38.0,1.0,239.5,49.99,0.9,237.5,49.99,0.9,241.6,49.99,14308.446,430.545,3846.202,5740.600
2016-10-1 8:19:31,29.0,700.7,748.0,0.6,0.3,14351.5,3401,376,Normal,0.00,450,269,39.0,1.0,241.3,49.99,1.0,239.3,49.99,1.0,243.3,49.99,14308.446,430.545,3846.202,5740.600
2016-10-1 8:24:31,29.0,665.7,760.8,1.0,0.4,14351.6,3401,653,Normal,0.10,669,340,39.0,1.3,243.3,50.00,1.1,239.9,50.00,1.3,245.1,50.00,14308.545,430.548,3846.229,5740.640
2016-10-1 8:29:31,29.0,757.9,763.8,1.3,0.6,14351.7,3401,1176,Normal,0.20,1032,492,39.0,1.9,241.7,50.00,1.8,239.0,50.00,1.8,243.4,50.00,14308.645,430.551,3846.256,5740.680
2016-10-1 8:34:31,30.0,744.8,755.3,1.4,0.7,14351.8,3401,1376,Normal,0.30,1104,597,39.0,2.1,243.9,49.99,2.0,240.9,49.99,2.0,245.0,49.99,14308.745,430.554,3846.282,5740.720
2016-10-1 8:39:31,30.0,757.9,753.8,1.2,0.6,14351.9,3401,1136,Normal,0.40,951,521,39.0,1.8,242.5,49.98,1.8,240.1,49.98,1.8,243.6,49.98,14308.844,430.557,3846.309,5740.760
2016-10-1 8:44:31,30.0,757.4,738.3,1.5,0.8,14352.0,3401,1519,Normal,0.50,1200,643,40.0,2.2,241.9,49.99,2.2,239.8,49.99,2.2,243.5,49.99,14308.944,430.560,3846.336,5740.800
2016-10-1 8:49:31,30.0,748.7,744.8,1.7,0.9,14352.1,3401,1697,Normal,0.60,1304,696,40.0,2.5,242.7,49.98,2.3,239.8,49.98,2.4,244.5,49.98,14309.044,430.563,3846.363,5740.840
2016-10-1 8:54:31,31.0,749.8,731.6,1.6,0.9,14352.3,3401,1625,Normal,0.80,1265,673,41.0,2.4,241.7,49.99,2.3,238.9,49.99,2.4,243.5,49.99,14309.243,430.569,3846.416,5740.920
2016-10-1 8:59:31,31.0,756.8,754.8,2.1,1.1,14352.4,3401,2206,Normal,0.90,1638,863,41.0,3.2,242.9,50.01,3.1,240.0,50.01,3.1,244.6,50.01,14309.343,430.572,3846.443,5740.960
2016-10-1 9:4:31,31.0,756.6,721.7,2.0,1.1,14352.6,3401,2104,Normal,1.10,1582,820,42.0,3.1,243.1,49.99,2.8,239.6,49.99,3.0,244.8,49.99,14309.542,430.578,3846.497,5741.040
2016-10-1 9:9:31,31.0,742.6,762.8,2.3,1.1,14352.8,3402,2308,Normal,1.30,1722,903,43.0,3.3,241.1,50.01,3.2,239.2,50.01,3.2,243.2,50.01,14309.742,430.584,3846.550,5741.120
2016-10-1 9:14:31,31.0,739.1,737.2,2.2,1.2,14353.0,3402,2306,Normal,1.50,1686,886,43.0,3.3,242.5,49.98,3.2,239.5,49.98,3.2,244.5,49.98,14309.941,430.590,3846.604,5741.200
2016-10-1 9:19:31,32.0,741.5,742.7,2.7,1.4,14353.2,3402,2815,Normal,1.70,2033,1063,43.0,4.0,240.9,49.99,3.9,238.7,49.99,3.9,243.2,49.99,14310.140,430.596,3846.658,5741.280
2016-10-1 9:24:31,32.0,761.1,759.1,3.3,1.7,14353.4,3402,3605,Normal,1.90,2549,1320,45.0,5.1,242.5,49.99,4.9,239.5,49.99,4.9,244.2,49.99,14310.340,430.602,3846.711,5741.360
2016-10-1 9:29:31,32.0,757.6,747.1,3.4,1.8,14353.8,3402,3697,Normal,2.30,2612,1351,45.0,5.3,242.2,49.98,5.0,239.2,49.98,5.1,244.3,49.98,14310.739,430.614,3846.818,5741.520
2016-10-1 9:34:32,32.0,753.0,751.1,4.1,2.1,14354.1,3402,4531,Normal,2.60,3135,1610,46.0,6.4,243.7,50.01,6.1,240.0,50.01,6.2,245.3,50.01,14311.038,430.623,3846.899,5741.640
2016-10-1 9:39:32,32.0,746.1,739.8,4.2,2.2,14354.5,3402,4568,Normal,3.00,3185,1632,47.0,6.5,241.2,50.00,6.3,238.3,50.00,6.3,242.9,50.00,14311.437,430.635,3847.006,5741.800
2016-10-1 9:44:32,32.0,735.5,749.0,4.9,2.4,14354.9,3402,5288,Normal,3.40,3647,1865,48.0,7.4,242.7,49.98,7.2,239.8,49.98,7.2,244.3,49.98,14311.835,430.647,3847.113,5741.960
2016-10-1 9:49:32,33.0,739.6,737.6,4.9,2.5,14355.3,3402,5319,Normal,3.80,3664,1873,49.0,7.4,241.4,49.99,7.3,238.9,49.99,7.3,243.2,49.99,14312.234,430.659,3847.220,5742.120
2016-10-1 9:54:32,33.0,734.0,721.0,5.7,2.9,14355.8,3402,6167,Normal,4.30,4197,2130,50.0,8.6,244.6,50.00,8.3,241.4,50.00,8.3,246.0,50.00,14312.733,430.674,3847.354,5742.320
2016-10-1 9:59:32,33.0,731.7,729.7,6.1,3.1,14356.3,3402,6660,Normal,4.80,4513,2302,52.0,9.2,245.8,49.96,8.9,242.2,49.96,9.0,247.7,49.96,14313.231,430.689,3847.488,5742.520
2016-10-1 10:4:32,33.0,724.4,725.5,6.5,3.3,14356.9,3402,6968,Normal,5.40,4727,2408,53.0,9.6,246.0,50.00,9.4,242.8,50.00,9.4,247.5,50.00,14313.829,430.707,3847.649,5742.760
