Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2016-12-25 8:40:22,21.0,191.6,200.2,0.1,0.1,17194.5,4147,0,Normal,2.30,25,24,19.0,0.1,237.9,49.99,0.1,236.9,49.99,0.0,239.9,49.99,17142.916,515.835,4608.126,6877.800
2016-12-25 8:40:41,7.0,118.5,118.2,0.0,0.0,17192.2,4147,0,Fault,0.00,22,22,-3.0,0.0,238.3,50.01,0.0,238.5,50.01,0.0,242.2,50.01,17140.623,515.766,4607.510,6876.880
2016-12-25 8:45:41,11.0,566.2,565.6,0.0,0.0,17192.2,4147,0,Fault,0.00,106,82,4.0,0.0,238.1,50.00,0.0,238.6,50.00,0.0,242.3,50.00,17140.623,515.766,4607.510,6876.880
2016-12-25 8:50:41,13.0,594.5,543.4,0.2,0.2,17192.2,4147,232,Normal,0.00,154,138,22.0,1.0,237.4,49.99,0.7,238.0,49.99,0.8,241.2,49.99,17140.623,515.766,4607.510,6876.880
2016-12-25 8:55:41,14.0,606.8,512.5,0.2,0.2,17192.2,4147,240,Normal,0.00,156,144,25.0,1.0,237.1,50.00,0.7,237.7,50.00,0.8,240.3,50.00,17140.623,515.766,4607.510,6876.880
2016-12-25 9:0:42,15.0,593.8,559.3,0.5,0.5,17192.2,4148,536,Normal,0.00,311,284,28.0,1.0,238.5,49.99,1.0,238.4,49.99,0.9,242.2,49.99,17140.623,515.766,4607.510,6876.880
2016-12-25 9:5:42,15.0,581.9,532.4,0.3,0.3,17192.2,4148,325,Normal,0.00,203,181,27.0,1.0,237.3,49.99,0.8,237.5,49.99,0.8,240.3,49.99,17140.623,515.766,4607.510,6876.880
2016-12-25 9:10:42,16.0,515.9,516.6,0.1,0.1,17192.3,4148,127,Normal,0.10,101,86,25.0,1.0,239.4,49.98,0.8,238.8,49.98,0.8,242.0,49.98,17140.723,515.769,4607.536,6876.920
2016-12-25 9:15:42,16.0,575.8,435.4,0.1,0.1,17192.3,4148,99,Normal,0.10,85,74,25.0,1.0,239.8,49.99,0.8,239.6,49.99,0.9,242.6,49.99,17140.723,515.769,4607.536,6876.920
2016-12-25 9:20:42,17.0,497.5,485.3,0.1,0.1,17192.3,4148,77,Normal,0.10,74,63,26.0,1.0,239.4,49.98,0.8,239.5,49.98,0.9,242.8,49.98,17140.723,515.769,4607.536,6876.920
2016-12-25 9:25:42,17.0,582.0,554.1,0.1,0.1,17192.3,4148,102,Normal,0.10,89,72,25.0,1.0,239.8,49.98,0.8,239.2,49.98,0.9,242.7,49.98,17140.723,515.769,4607.536,6876.920
2016-12-25 9:35:42,17.0,591.6,515.5,0.2,0.2,17192.3,4148,223,Normal,0.10,148,134,27.0,1.0,239.3,49.98,0.8,239.0,49.98,0.8,242.2,49.98,17140.723,515.769,4607.536,6876.920
